AreaOfInterestName,Area,ImageId,ImageDate,ImageTime,Sensor,GSDm,ImageName,OperationState
P1_MARAKECH,MARAKECH,1040050057DC8500,20230910,11:25:14-11:25:17,WV03,0.35,MARAKECH_MOROCCO_1040050057DC8500_20230910.tif,Finished
P1_AMIZMIZTOPFARLEFT,AMIZMIZ,104001008B75BB00,20230910,11:26:36-11:26:39,WV03,0.39,AMIZMIZTOPFARLEFT_MOROCCO_104001008B75BB00_20230910.tif,Finished
P1_AMIZMIZTOPLEFT,AMIZMIZ,104001008A8E9800,20230910,11:26:47-11:26:50,WV03,0.43,AMIZMIZTOPLEFT_MOROCCO_104001008A8E9800_20230910.tif,Finished
P1_AGADIR,AGADIR,10300500E4F91900,20230910,11:45:14-11:45:16,WV02,0.57,AGADIR_MOROCCO_10300500E4F91900_20230910.tif,Finished
P1_CHICHAOUA,CHICHAOUA,10300500E4F91400,20230910,11:44:16-11:44:18,WV02,0.62,CHICHAOUA_MOROCCO_10300500E4F91400_20230910.tif,Finished
P1_AMIZMIZ,AMIZMIZ,10300100ED11EA00,20230910,11:46:13-11:46:15,WV02,0.86,AMIZMIZ_MOROCCO_10300100ED11EA00_20230910.tif,Finished
P1_AMIZMIZBOTTOM,AMIZMIZ,10300500E4F91800,20230910,11:45:02,WV02,0.64,AMIZMIZBOTTOM_MOROCCO_10300500E4F91800_20230910.tif,Finished
P1_AMIZMIZBOTTOMLEFT,AMIZMIZ,10300500E4F91500,20230910,11:44:26-11:44:28,WV02,0.64,AMIZMIZBOTTOMLEFT_MOROCCO_10300500E4F91500_20230910.tif,Finished
P1_MOULAYBRAHIM,MOULAYBRAHIM,10300500E4F91700,20230910,11:44:54-11:44:55,WV02,0.64,MOULAYBRAHIM_MOROCCO_10300500E4F91700_20230910.tif,Finished
P1_TARQUDANT,TARQUDANT,10300100ECC53700,20230910,11:46:24-11:46:27,WV02,0.83,TARQUDANT_MOROCCO_10300100ECC53700_20230910.tif,Finished
